NodeA	NodeB	condition	nor_CMI_value	median_of_test	adj.pvalue	remain
y x w	y	x	w	0.330705259735333	0.00100655185537713	0	TRUE
y x v	y	x	v	0.268729227683896	0.00146930032698291	0	TRUE
y x z	y	x	z	0.290415074832069	0.00168352563320474	0	TRUE
w x y	w	x	y	0.00371450724737727	0.00155011193827553	0.998287899509086	FALSE
w x v	w	x	v	0.0133055561976602	0.000747549387054408	0.0060668587018453	FALSE
w x z	w	x	z	0.0344863636367417	0.00179698026651774	5.34994791036425e-09	TRUE
w y x	w	y	x	0.0577658997551914	0.00235425793813721	1.83511798599996e-20	TRUE
w y v	w	y	v	0.0432870931569862	0.00143579750661557	1.99388467097578e-11	TRUE
w y z	w	y	z	0.0578898918757103	0.00147013400134588	3.64973618567057e-17	TRUE
v x y	v	x	y	4.4914419248188e-07	0.00163737311261093	0.534976144457155	FALSE
v x w	v	x	w	0.104839537450514	0.00103472397481069	4.1087724286961e-166	TRUE
v x z	v	x	z	0.04336079721396	0.00132725705349247	6.71741396751373e-28	TRUE
v y x	v	y	x	0.106951721115015	0.00141586665965432	4.22495126286976e-102	TRUE
v y w	v	y	w	0.175624181886941	0.0014885452960745	0	TRUE
v y z	v	y	z	0.0693021074706208	0.00231997480633132	7.72354078983451e-51	TRUE
v w x	v	w	x	0.015824900412593	0.00144606072659432	0.00157888028110375	FALSE
v w y	v	w	y	0.00192045943713832	0.00131654227900624	0.809181626353397	FALSE
v w z	v	w	z	0.999999	0.00293857080113534	0	TRUE
z x y	z	x	y	0.00365022828023142	0.00192173804755253	0.998266625071618	FALSE
z x w	z	x	w	0.0947187121655171	0.00111532860409192	4.11772490305665e-107	TRUE
z x v	z	x	v	0.0139862224213419	0.00108876034288004	0.00146655555387165	FALSE
z y x	z	y	x	0.0966403057896739	0.00105650315137492	6.33510348145553e-104	TRUE
z y w	z	y	w	0.136832030438847	0.00107919553149973	2.11899784758465e-295	TRUE
z y v	z	y	v	0.0382773314494429	0.00113140908614942	1.50131064267919e-29	TRUE
z w x	z	w	x	0.481357153901424	0.00110366232391592	0	TRUE
z w y	z	w	y	0.478799533058137	0.00152687562372228	0	TRUE
z w v	z	w	v	0.999999	0.00143678614086605	0	TRUE
z v x	z	v	x	0.122038100525357	0.00142379460785399	0	TRUE
z v y	z	v	y	0.0796274748641255	0.00181570804334621	4.47530684090488e-55	TRUE
z v w	z	v	w	0.999999	0.00103906133540741	0	TRUE
b a c	b	a	c	0.479024088633731	0.00145204906952732	0	TRUE
c a b	c	a	b	0.0010357558364706	0.00284931511079662	0.489124831708543	FALSE
c b a	c	b	a	0.0900439406858468	0.00260088515726878	4.38606285802655e-12	TRUE
x y w	x	y	w	0.330705259735333	0.00100655185537713	0	TRUE
x y v	x	y	v	0.268729227683896	0.00146930032698291	0	TRUE
x y z	x	y	z	0.290415074832069	0.00168352563320474	0	TRUE
x w y	x	w	y	0.00371450724737727	0.00155011193827553	0.998287899509086	FALSE
x w v	x	w	v	0.0133055561976602	0.000747549387054408	0.0060668587018453	FALSE
x w z	x	w	z	0.0344863636367417	0.00179698026651774	5.34994791036425e-09	TRUE
y w x	y	w	x	0.0577658997551914	0.00235425793813721	1.83511798599996e-20	TRUE
y w v	y	w	v	0.0432870931569862	0.00143579750661557	1.99388467097578e-11	TRUE
y w z	y	w	z	0.0578898918757103	0.00147013400134588	3.64973618567057e-17	TRUE
x v y	x	v	y	4.4914419248188e-07	0.00163737311261093	0.534976144457155	FALSE
x v w	x	v	w	0.104839537450514	0.00103472397481069	4.1087724286961e-166	TRUE
x v z	x	v	z	0.04336079721396	0.00132725705349247	6.71741396751373e-28	TRUE
y v x	y	v	x	0.106951721115015	0.00141586665965432	4.22495126286976e-102	TRUE
y v w	y	v	w	0.175624181886941	0.0014885452960745	0	TRUE
y v z	y	v	z	0.0693021074706208	0.00231997480633132	7.72354078983451e-51	TRUE
w v x	w	v	x	0.015824900412593	0.00144606072659432	0.00157888028110375	FALSE
w v y	w	v	y	0.00192045943713832	0.00131654227900624	0.809181626353397	FALSE
w v z	w	v	z	0.999999	0.00293857080113534	0	TRUE
x z y	x	z	y	0.00365022828023142	0.00192173804755253	0.998266625071618	FALSE
x z w	x	z	w	0.0947187121655171	0.00111532860409192	4.11772490305665e-107	TRUE
x z v	x	z	v	0.0139862224213419	0.00108876034288004	0.00146655555387165	FALSE
y z x	y	z	x	0.0966403057896739	0.00105650315137492	6.33510348145553e-104	TRUE
y z w	y	z	w	0.136832030438847	0.00107919553149973	2.11899784758465e-295	TRUE
y z v	y	z	v	0.0382773314494429	0.00113140908614942	1.50131064267919e-29	TRUE
w z x	w	z	x	0.481357153901424	0.00110366232391592	0	TRUE
w z y	w	z	y	0.478799533058137	0.00152687562372228	0	TRUE
w z v	w	z	v	0.999999	0.00143678614086605	0	TRUE
v z x	v	z	x	0.122038100525357	0.00142379460785399	0	TRUE
v z y	v	z	y	0.0796274748641255	0.00181570804334621	4.47530684090488e-55	TRUE
v z w	v	z	w	0.999999	0.00103906133540741	0	TRUE
a b c	a	b	c	0.479024088633731	0.00145204906952732	0	TRUE
a c b	a	c	b	0.0010357558364706	0.00284931511079662	0.489124831708543	FALSE
b c a	b	c	a	0.0900439406858468	0.00260088515726878	4.38606285802655e-12	TRUE
