NodeA	NodeB	pvalue
1	MLH1	cg16833340	0.000193207366986852
2	MLH1	cg21756485	5.0983158789034e-07
3	MLH1	cg04737283	1.51157087819934e-07
4	MLH1	cg11184748	1.59351103248489e-05
5	MLH1	cg07370496	0.000899777245056976
6	MLH1	cg03052030	3.70873661814169e-17
7	MLH1	cg07528097	1.00672144275021e-17
8	MLH1	cg06686826	2.55582522685537e-15
9	MLH1	cg06163735	1.41319664870998e-16
10	MLH1	cg00325599	2.6893498704242e-12
11	MLH1	cg01756288	5.58160194960901e-14
12	MLH1	cg12624667	2.96045523732885e-13
13	MLH1	cg03450370	1.45092019100284e-12
14	MLH1	cg07696485	2.48014396221339e-16
15	MLH1	cg11870261	2.73394588586903e-17
16	MLH1	cg01349853	2.95326982049706e-16
17	MLH1	cg17445812	4.16502540023895e-09
18	MLH1	cg24607398	2.19106818990126e-15
19	MLH1	cg10990993	1.65645447252653e-16
20	MLH1	cg04726821	8.86310227946256e-17
21	MLH1	cg11291081	5.66077269472424e-25
22	MLH1	cg05670953	5.25788655639819e-22
23	MLH1	cg18320188	7.81704356014263e-30
24	MLH1	cg04841293	2.05481592284448e-47
25	MLH1	cg05845319	2.38464430792959e-41
26	MLH1	cg21109167	1.08000820371847e-24
27	MLH1	cg03901257	3.60933756743825e-62
28	MLH1	cg02279071	6.88083979558105e-69
29	MLH1	cg14751544	1.33126292019541e-61
30	MLH1	cg16764580	5.59443090316227e-64
31	MLH1	cg17641046	8.96830492599035e-73
32	MLH1	cg07101782	2.10594804020325e-76
33	MLH1	cg03497419	1.43092840442992e-84
34	MLH1	cg27586588	1.81310232287459e-90
35	MLH1	cg16433211	1.0045933658506e-105
36	MLH1	cg10769891	6.19653322054982e-100
37	MLH1	cg19132762	8.84121008080582e-107
38	MLH1	cg23658326	2.11916043925343e-101
39	MLH1	cg11600697	1.50574709284021e-103
40	MLH1	cg21490561	2.10178783986256e-108
41	MLH1	cg00893636	1.18707814847649e-113
42	MLH1	cg03192963	1.1409950114201e-104
43	MLH1	cg06791151	1.41717449995114e-88
44	MLH1	cg07064226	1.3352825187189e-97
45	MLH1	cg06108510	5.61891297739206e-105
46	MLH1	cg24985459	5.07285034635835e-102
47	MLH1	cg25202636	2.59813075827207e-100
48	MLH1	cg17621259	1.4236216197259e-94
49	MLH1	cg14671526	1.53445648904178e-98
50	MLH1	cg05906740	3.54410812956e-99
51	MLH1	cg27331401	1.21093951234347e-92
52	MLH1	cg25837710	7.42697508704001e-93
53	MLH1	cg12851504	1.09573033442392e-97
54	MLH1	cg06590608	1.61144955842946e-96
55	MLH1	cg11224603	8.35217949749487e-102
56	MLH1	cg19208331	5.7026198902156e-107
57	MLH1	cg14598950	3.42676089864949e-99
58	MLH1	cg13846866	1.41492446059103e-92
59	MLH1	cg06284479	1.52940939145044e-08
60	MLH1	cg15934958	0.0021085465150808
61	MLH1	cg22985146	0.00759446050167543
62	MLH1	cg12984086	4.63083580011067e-05
