target_name	target_chr	target_strand	target_TSS	target_gene_length	regulator_name	regulator_type	elements_type	regulator_chr	regulator_start	regulator_end	regulation_dis	regulation_distance	met_sd	pearson_cor	pvalue	indirect_passenger
cg16833340	MLH1	chr3	+	37034840	57497	cg16833340	direct	CpGs_met	chr3	36780454	36780454	distal	-254386	0.127120013055062	-0.192	0.000193207366986852	NA
cg21756485	MLH1	chr3	+	37034840	57497	cg21756485	direct	CpGs_met	chr3	36805370	36805370	distal	-229470	0.161141821631894	-0.257	5.0983158789034e-07	NA
cg04737283	MLH1	chr3	+	37034840	57497	cg04737283	direct	CpGs_met	chr3	36805426	36805426	distal	-229414	0.151646275099159	-0.268	1.51157087819934e-07	NA
cg11184748	MLH1	chr3	+	37034840	57497	cg11184748	indirect	CpGs_met	chr3	36806179	36806179	distal	-228661	0.113652042871717	-0.222	1.59351103248489e-05	EPM2AIP1
cg07370496	MLH1	chr3	+	37034840	57497	cg07370496	indirect	CpGs_met	chr3	36806213	36806213	distal	-228627	0.110578974560744	-0.171	0.000899777245056976	EPM2AIP1
cg03052030	MLH1	chr3	+	37034840	57497	cg03052030	indirect	CpGs_met	chr3	36985516	36985516	distal	-49324	0.170831163948351	-0.418	3.70873661814169e-17	EPM2AIP1
cg07528097	MLH1	chr3	+	37034840	57497	cg07528097	indirect	CpGs_met	chr3	36985697	36985697	distal	-49143	0.170951189604002	-0.425	1.00672144275021e-17	EPM2AIP1
cg06686826	MLH1	chr3	+	37034840	57497	cg06686826	indirect	CpGs_met	chr3	36985996	36985996	distal	-48844	0.279130297950642	-0.395	2.55582522685537e-15	EPM2AIP1
cg06163735	MLH1	chr3	+	37034840	57497	cg06163735	indirect	CpGs_met	chr3	36986154	36986154	distal	-48686	0.206051056533008	-0.411	1.41319664870998e-16	EPM2AIP1
cg00325599	MLH1	chr3	+	37034840	57497	cg00325599	indirect	CpGs_met	chr3	36986513	36986513	distal	-48327	0.242171212310387	-0.352	2.6893498704242e-12	EPM2AIP1
cg01756288	MLH1	chr3	+	37034840	57497	cg01756288	indirect	CpGs_met	chr3	36986532	36986532	distal	-48308	0.257476744115428	-0.377	5.58160194960901e-14	EPM2AIP1
