NodeA	NodeB
MLH1 cg11184748 EPM2AIP1	MLH1	cg11184748
MLH1 cg07370496 EPM2AIP1	MLH1	cg07370496
MLH1 cg03052030 EPM2AIP1	MLH1	cg03052030
MLH1 cg07528097 EPM2AIP1	MLH1	cg07528097
MLH1 cg06686826 EPM2AIP1	MLH1	cg06686826
MLH1 cg06163735 EPM2AIP1	MLH1	cg06163735
MLH1 cg00325599 EPM2AIP1	MLH1	cg00325599
MLH1 cg01756288 EPM2AIP1	MLH1	cg01756288
MLH1 cg12624667 EPM2AIP1	MLH1	cg12624667
MLH1 cg03450370 EPM2AIP1	MLH1	cg03450370
MLH1 cg07696485 EPM2AIP1	MLH1	cg07696485
MLH1 cg11870261 EPM2AIP1	MLH1	cg11870261
MLH1 cg01349853 EPM2AIP1	MLH1	cg01349853
MLH1 cg17445812 EPM2AIP1	MLH1	cg17445812
MLH1 cg24607398 EPM2AIP1	MLH1	cg24607398
MLH1 cg10990993 EPM2AIP1	MLH1	cg10990993
MLH1 cg04726821 EPM2AIP1	MLH1	cg04726821
MLH1 cg11291081 EPM2AIP1	MLH1	cg11291081
MLH1 cg05670953 EPM2AIP1	MLH1	cg05670953
MLH1 cg18320188 EPM2AIP1	MLH1	cg18320188
MLH1 cg04841293 EPM2AIP1	MLH1	cg04841293
MLH1 cg05845319 EPM2AIP1	MLH1	cg05845319
MLH1 cg21109167 EPM2AIP1	MLH1	cg21109167
MLH1 cg03901257 cg02279071	MLH1	cg03901257
MLH1 cg02279071 cg17641046	MLH1	cg02279071
MLH1 cg14751544 cg02279071	MLH1	cg14751544
MLH1 cg16764580 cg02279071	MLH1	cg16764580
MLH1 cg17641046 cg07101782	MLH1	cg17641046
MLH1 cg07101782 cg03497419	MLH1	cg07101782
MLH1 cg03497419 cg10769891	MLH1	cg03497419
MLH1 cg10769891 cg19132762	MLH1	cg10769891
MLH1 cg23658326 cg00893636	MLH1	cg23658326
MLH1 cg11600697 cg21490561	MLH1	cg11600697
MLH1 cg21490561 cg00893636	MLH1	cg21490561
MLH1 cg03192963 cg00893636	MLH1	cg03192963
MLH1 cg06108510 cg00893636	MLH1	cg06108510
MLH1 cg24985459 cg00893636	MLH1	cg24985459
MLH1 cg27331401 cg21490561	MLH1	cg27331401
MLH1 cg12851504 cg00893636	MLH1	cg12851504
MLH1 cg14598950 cg19208331	MLH1	cg14598950
MLH1 cg13846866 cg00893636	MLH1	cg13846866
