chr	start	end	width	symbol
chr3	36780454	36780455	1	cg16833340
chr3	36805370	36805371	1	cg21756485
chr3	36805426	36805427	1	cg04737283
chr3	36806179	36806180	1	cg11184748
chr3	36806213	36806214	1	cg07370496
chr3	36985516	36985517	1	cg03052030
chr3	36985697	36985698	1	cg07528097
chr3	36985996	36985997	1	cg06686826
chr3	36986154	36986155	1	cg06163735
chr3	36986513	36986514	1	cg00325599
chr3	36986532	36986533	1	cg01756288
chr3	36986555	36986556	1	cg12624667
chr3	36986589	36986590	1	cg03450370
chr3	36986642	36986643	1	cg07696485
chr3	36986679	36986680	1	cg11870261
chr3	36986697	36986698	1	cg01349853
chr3	36986805	36986806	1	cg17445812
chr3	37033625	37033626	1	cg24607398
chr3	37033632	37033633	1	cg10990993
chr3	37033791	37033792	1	cg04726821
chr3	37033894	37033895	1	cg11291081
chr3	37033903	37033904	1	cg05670953
chr3	37033980	37033981	1	cg18320188
chr3	37034028	37034029	1	cg04841293
chr3	37034066	37034067	1	cg05845319
chr3	37034084	37034085	1	cg21109167
chr3	37034142	37034143	1	cg03901257
chr3	37034154	37034155	1	cg02279071
chr3	37034166	37034167	1	cg14751544
chr3	37034346	37034347	1	cg16764580
chr3	37034473	37034474	1	cg17641046
chr3	37034495	37034496	1	cg07101782
chr3	37034654	37034655	1	cg03497419
chr3	37034661	37034662	1	cg27586588
chr3	37034693	37034694	1	cg16433211
chr3	37034730	37034731	1	cg10769891
chr3	37034739	37034740	1	cg19132762
chr3	37034787	37034788	1	cg23658326
chr3	37034814	37034815	1	cg11600697
chr3	37034825	37034826	1	cg21490561
chr3	37034840	37034841	1	cg00893636
chr3	37034909	37034910	1	cg03192963
chr3	37034956	37034957	1	cg06791151
chr3	37034997	37034998	1	cg07064226
chr3	37035063	37035064	1	cg06108510
chr3	37035090	37035091	1	cg24985459
chr3	37035158	37035159	1	cg25202636
chr3	37035168	37035169	1	cg17621259
chr3	37035200	37035201	1	cg14671526
chr3	37035205	37035206	1	cg05906740
chr3	37035207	37035208	1	cg27331401
chr3	37035220	37035221	1	cg25837710
chr3	37035222	37035223	1	cg12851504
chr3	37035228	37035229	1	cg06590608
chr3	37035282	37035283	1	cg11224603
chr3	37035345	37035346	1	cg19208331
chr3	37035355	37035356	1	cg14598950
chr3	37035399	37035400	1	cg13846866
chr3	37173546	37173547	1	cg06284479
chr3	37212084	37212085	1	cg15934958
chr3	37219077	37219078	1	cg22985146
chr3	37284287	37284288	1	cg12984086
